Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,Interested in,What are your Primary areas of interest within computer Science field?,Do you have any background knowledge in
Science,No,Both,Yes,Python;Java;JavaScript,Web Development;Windows Application Development;Application Development,Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,C/C++,Web Development;Application Development;Utility Software,AI/ML;Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,C/C++,Web Development,Data Science,C/C++
Science,No,Practical,Yes,Python,Web Development;Android App Development,Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,C/C++,Web Development,Web Developement,C/C++;Operating System
Science,No,Both,Yes,C/C++,Web Development,AI/ML,C/C++;Operating System
Science,No,Both,Yes,Python;Java;JavaScript,Android App Development;Windows Application Development;Utility Software,AI/ML;CyberSecurity,C/C++;Data Structure;Software Engineering
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Data Structure
Science,Yes,Both,Yes,Python;C/C++,Web Development;Android App Development;Windows Application Development;Utility Software,Data Science;Software Engineering;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Android App Development;Application Development;Utility Software,AI/ML;Software Engineering;Web Developement,C/C++;Operating System
Science,Yes,Both,Yes,Java,Android App Development,Software Engineering,Software Engineering
Science,Yes,Practical,Yes,C/C++,Web Development;Android App Development,CyberSecurity;Web Developement,C/C++;Software Engineering
Science,Yes,Practical,Yes,Java;C/C++;JavaScript,Web Development,Data Science,C/C++
Science,No,Both,Yes,C/C++,Web Development,CyberSecurity,C/C++
Science,Yes,Both,Yes,Python;C/C++,Web Development,Data Science,C/C++;Data Structure
Science,No,Both,Yes,Python,Application Development;Utility Software,AI/ML;Data Science,Data Structure
Science,Yes,Theoretical,Yes,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,No,Practical,Yes,Python;C/C++,Web Development;Android App Development,Data Science;Software Engineering;CyberSecurity;Web Developement,Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,Yes,Both,No,Angular JS,Windows Application Development,Web Developement,Software Engineering
Science,No,Both,Yes,Python,Web Development,Web Developement,Node JS
Science,No,Practical,Yes,Java,Web Development,Data Science,C/C++
Science,Yes,Both,Yes,C/C++,Web Development;Android App Development,CyberSecurity,C/C++
Science,Yes,Both,Yes,Python;Java,Web Development;Application Development,Data Science;CyberSecurity,Software Engineering
Science,No,Practical,Yes,Java,Android App Development,Software Engineering,C/C++;Data Structure
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Windows Application Development;Application Development,Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,C/C++,Web Development,Web Developement,C/C++;Data Structure
Science,No,Practical,Yes,C/C++,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Data Structure;Node JS
Science,No,Both,Yes,Python;Java;C/C++,Web Development,Software Engineering,C/C++
