Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,
Science,No,Both,Yes,Python;Java;JavaScript,C/C++;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python;C/C++,C/C++
Science,Yes,Both,Yes,C/C++,C/C++
Science,No,Both,No,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Node JS;Software Engineering
Science,No,Both,Yes,Python;Java,C/C++;Data Structure
Science,Yes,Practical,Yes,Java,C/C++;Data Structure
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Python;Java;JavaScript,Data Structure
Science,Yes,Practical,No,Python;Java;C/C++,C/C++;Data Structure
Science,Yes,Both,Yes,Python;Java;C/C++,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,Python;C/C++,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,Yes,Both,Yes,Python;C/C++,C/C++;Data Structure
Science,No,Both,Yes,Python;C/C++;JavaScript,C/C++;Data Structure;Software Engineering
Science,No,Both,Yes,Python;Java;C/C++,C/C++;Data Structure
Science,Yes,Theoretical,Yes,JavaScript,Data Structure
Science,No,Practical,Yes,JavaScript,Node JS
Science,No,Practical,Yes,Python;Java;C/C++,C/C++;Operating System;Data Structure;Node JS
Science,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,No,Java;C/C++;JavaScript,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++,C/C++
Science,Yes,Both,Yes,Python;C/C++,C/C++;Data Structure
Science,No,Both,Yes,C/C++,C/C++
Science,Yes,Both,Yes,C/C++,Software Engineering
Science,Yes,Practical,Yes,Java;C/C++,C/C++
Science,No,Theoretical,Yes,C/C++,C/C++
Science,No,Both,Yes,C/C++,C/C++
Science,No,Practical,Yes,C/C++,C/C++;Operating System
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Node JS
Science,No,Both,Yes,Python;Java;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,Yes,Both,Yes,Python;Java;C/C++,C/C++;Operating System;Data Structure
